;movie_title;HCA
773;State of Play ;50
774;Duplicity ;61
775;My Favorite Martian ;90
776;The Sentinel ;58
777;Planet 51 ;129
778;Star Trek: Nemesis ;137
779;Intolerable Cruelty ;72
780;Trouble with the Curve ;118
781;Edge of Darkness ;50
782;The Relic ;16
783;Analyze That ;73
784;Righteous Kill ;49
785;Mercury Rising ;57
786;The Soloist ;97
787;The Legend of Bagger Vance ;111
788;Almost Famous ;96
789;Garfield 2 ;131
790;xXx: State of the Union ;136
791;Priest ;3
792;Sinbad: Legend of the Seven Seas ;106
793;Event Horizon ;15
795;Dragonfly ;54
796;The Black Dahlia ;50
797;Flyboys ;153
798;The Last Castle ;28
799;Supernova ;15
800;Winter's Tale ;54
801;The Mortal Instruments: City of Bones ;10
802;Meet Dave ;90
803;Dark Water ;14
804;Edtv ;114
805;Inkheart ;124
806;The Spirit ;3
807;Mortdecai ;51
808;In the Name of the King: A Dungeon Siege Tale ;138
809;Beyond Borders ;154
810;Xi you ji zhi: Sun Wukong san da Baigu Jing ;160
811;The Great Raid ;35
812;Deadpool ;162
813;Holy Man ;114
814;American Sniper ;30
815;Goosebumps ;124
816;Sabrina, the Teenage Witch             ;112
817;Just Like Heaven ;83
818;The Flintstones in Viva Rock Vegas ;90
819;Rambo III ;26
820;Leatherheads ;115
821;The Ridiculous 6 ;148
822;Did You Hear About the Morgans? ;100
823;The Internship ;85
824;Resident Evil: Afterlife ;2
825;Red Tails ;152
826;Sex and the City             ;82
827;The Devil's Advocate ;55
828;That's My Boy ;85
829;DragonHeart ;160
830;After the Sunset ;81
831;Ghost Rider: Spirit of Vengeance ;3
832;Captain Corelli's Mandolin ;95
833;Anger Management             ;82
834;The Pacifier ;145
835;Walking Tall ;165
836;Forrest Gump ;114
837;Alvin and the Chipmunks ;120
838;Meet the Parents ;85
839;Pocahontas ;119
840;Superman ;161
841;The Nutty Professor ;86
842;Hitch ;82
843;George of the Jungle ;162
844;American Wedding ;82
845;Captain Phillips ;42
846;Date Night ;61
847;Casper ;112
848;The Equalizer ;58
849;Maid in Manhattan ;100
850;Crimson Tide ;26
851;The Pursuit of Happyness ;41
852;Flightplan ;55
853;Disclosure ;25
854;City of Angels ;111
855;Kill Bill: Vol. 1 ;165
856;Bowfinger ;85
857;Stargate SG-1             ;149
858;Kill Bill: Vol. 2 ;57
859;Tango & Cash ;80
860;Death Becomes Her ;113
861;Shanghai Noon ;148
862;Executive Decision ;135
863;Mr. Popper's Penguins ;112
864;The Forbidden Kingdom ;160
865;Free Birds ;132
866;Alien 3 ;2
867;Evita ;36
868;Ronin ;136
869;The Ghost and the Darkness ;18
870;Paddington ;131
871;The Watch ;157
872;The Hunted ;57
873;Instinct ;25
874;Stuck on You ;85
875;Semi-Pro ;116
876;The Pirates! Band of Misfits ;132
877;Changeling ;50
878;Chain Reaction ;141
879;The Fan ;163
880;The Phantom of the Opera ;99
881;Elizabeth: The Golden Age ;29
882;Æon Flux ;156
883;Gods and Generals ;31
884;Turbulence ;144
885;Imagine That ;110
886;Muppets Most Wanted ;121
887;Thunderbirds ;127
888;Burlesque ;94
889;A Very Long Engagement ;32
890;Lolita ;63
891;Eye See You ;45
892;Blade II ;4
893;Seven Pounds ;101
894;Bullet to the Head ;144
895;The Godfather: Part III ;59
896;Elizabethtown ;100
897;You, Me and Dupree ;82
898;Superman II ;161
899;Gigli ;72
900;All the King's Men ;25
901;Shaft ;58
902;Anastasia ;119
903;Moulin Rouge! ;94
904;Domestic Disturbance ;45
905;Black Mass ;43
906;Flags of Our Fathers ;31
907;Law Abiding Citizen ;64
908;Grindhouse ;4
909;Beloved ;14
910;Lucky You ;118
911;Catch Me If You Can ;43
912;Zero Dark Thirty ;37
913;The Break-Up ;100
914;Mamma Mia! ;91
915;Valentine's Day ;82
916;The Dukes of Hazzard ;76
917;The Thin Red Line ;34
918;The Change-Up ;113
919;Man on the Moon ;40
920;Casino ;43
921;From Paris with Love ;144
922;Bulletproof Monk ;78
923;Me, Myself & Irene ;85
924;Barnyard ;131
925;Deck the Halls ;107
926;The Twilight Saga: New Moon ;146
927;Shrek ;122
928;The Adjustment Bureau ;86
929;Robin Hood: Prince of Thieves ;153
930;Jerry Maguire ;115
931;Ted ;113
932;As Good as It Gets ;100
933;Patch Adams ;40
934;Anchorman 2: The Legend Continues ;85
935;Mr. Deeds ;82
936;Super 8 ;47
937;Erin Brockovich ;41
938;How to Lose a Guy in 10 Days ;82
939;22 Jump Street ;79
940;Interview with the Vampire: The Vampire Chronicles ;5
941;Yes Man ;82
942;Central Intelligence ;79
943;Stepmom ;114
944;Daddy's Home ;107
945;Into the Woods ;96
946;Inside Man ;50
947;Payback ;57
948;Congo ;48
949;We Bought a Zoo ;102
950;Knowing ;23
951;Failure to Launch ;82
952;The Ring Two ;10
953;Crazy, Stupid, Love. ;100
954;Garfield ;131
955;Christmas with the Kranks ;107
956;Moneyball ;117
957;Outbreak ;28
958;Non-Stop ;46
959;Race to Witch Mountain ;138
960;V for Vendetta ;28
961;Shanghai Knights ;76
962;Unforgotten             ;59
963;Curious George ;132
964;Herbie Fully Loaded ;106
965;Don't Say a Word ;50
966;Hansel & Gretel: Witch Hunters ;3
967;Unfaithful ;25
968;I Am Number Four ;137
969;Syriana ;25
970;13 Hours ;26
971;The Book of Life ;106
972;Firewall ;67
973;Absolute Power ;57
974;G.I. Jane ;35
975;The Game ;55
976;Silent Hill ;18
977;The Replacements ;116
978;American Reunion ;85
979;The Negotiator ;49
980;Into the Storm ;144
981;Beverly Hills Cop III ;80
982;Gremlins 2: The New Batch ;113
983;The Judge ;59
984;The Peacemaker ;144
985;Resident Evil: Apocalypse ;4
986;Bridget Jones: The Edge of Reason ;100
987;Out of Time ;62
988;On Deadly Ground ;135
989;The Adventures of Sharkboy and Lavagirl 3-D ;126
990;The Beach ;150
991;Raising Helen ;100
992;Ninja Assassin ;58
993;For Love of the Game ;118
994;A Touch of Frost             ;53
995;Striptease ;75
996;Marmaduke ;107
997;Hereafter ;111
998;Murder by Numbers ;45
999;Assassins ;58
1000;Hannibal Rising ;64
1001;The Story of Us ;100
1002;The Host ;161
1003;Basic ;49
